LAD_code,Local_Authority,Total_Population,Percent_65plus,Care_Homes_Count,Care_Homes_per_10k,%_CQC_Outstanding,%_CQC_Good,%_CQC_RequiresImprovement,%_CQC_Inadequate,%_CQC_NotRated,GDHI_per_head_2022,House_Price_Growth_%,Investment_Potential_Score,High_Investment_Potential,Investment_Grade
E07000040,East Devon,156167.0,29.91,75.0,4.802551115152369,18.67,68.0,13.33,0.0,0,23635,12.55,0.7986326672728552,0,Consider
E07000041,Exeter,137050.0,16.27,34.0,2.4808464064210143,11.76,82.35,5.88,0.0,0,18724,-2.18,-10.82477303903685,0,Avoid
E07000042,Mid Devon,84148.0,24.62,31.0,3.683985359129153,9.68,70.97,19.35,0.0,0,22116,11.72,2.242997803869372,0,Consider
E07000043,North Devon,100543.0,26.18,29.0,2.8843380444188056,6.9,72.41,20.69,0.0,0,21259,26.73,6.919000706662821,0,Consider
E07000044,South Hams,90842.0,28.75,34.0,3.742762158472953,0.0,70.59,29.41,0.0,0,26872,13.87,9.951214323770945,0,Good
E07000045,Teignbridge,137074.0,27.59,70.0,5.10673067102441,5.71,88.57,2.86,2.86,0,22824,10.79,-3.297390399346339,0,Avoid
E07000046,Torridge,68830.0,29.34,33.0,4.79442103733837,0.0,90.91,9.09,0.0,0,20407,14.93,-0.6062868443992464,0,Avoid
E07000047,West Devon,58754.0,29.26,24.0,4.084828267011607,8.7,78.26,13.04,0.0,0,21775,11.99,0.3634742400517385,0,Consider
E07000061,Eastbourne,103796.0,24.71,68.0,6.551312189294385,7.35,85.29,7.35,0.0,0,21980,44.96,5.081196828394159,0,Consider
E07000062,Hastings,90817.0,20.8,71.0,7.817919552506689,1.41,76.06,22.54,0.0,0,20007,22.78,6.280737932876004,0,Consider
E07000063,Lewes,101356.0,26.94,50.0,4.933107068155807,0.0,76.0,24.0,0.0,0,25890,10.97,6.100966060223371,0,Consider
E07000064,Rother,94862.0,32.52,69.0,7.273723935822563,0.0,91.3,8.7,0.0,0,24725,22.89,3.002308590373387,0,Consider
E07000065,Wealden,164653.0,26.93,65.0,3.947696063843356,3.08,80.0,16.92,0.0,0,27916,6.79,1.5455544095765017,0,Consider
